1	13
4	355
10	1472
14	1374
15	1
17	127
18	505
21	621
23	1919
25	1734
26	1808
27	897
28	777
29	546
33	518
34	1465
35	755
37	776
38	1483
39	1002
40	103
42	1434
43	1769
45	328
46	1519
47	1800
48	2128
49	4
50	1321
51	886
53	1514
55	291
59	1911
60	1419
62	1120
63	594
64	940
66	1079
67	1661
70	1695
73	1602
74	2056
78	1304
79	1926
80	567
86	1069
90	1879
91	760
92	368
93	1701
96	1361
97	1404
98	1108
101	95
102	2133
103	1648
105	1252
108	1103
109	1826
113	72
115	1278
117	691
122	695
124	1190
125	770
127	1174
128	200
129	1628
131	1182
132	1923
133	1646
134	1935
135	1316
136	707
137	67
138	1118
139	447
140	1387
141	1255
143	853
144	1207
146	289
147	443
150	848
152	83
153	956
157	993
159	609
161	1728
163	1712
165	835
166	999
168	1201
170	80
172	1070
173	1943
175	682
176	1438
178	1116
181	1329
183	1692
185	1351
188	1124
190	372
192	583
193	1752
195	1147
196	601
199	1311
200	1595
201	39
202	1324
203	1967
204	1601
206	1138
208	298
209	1149
211	437
215	1203
216	1012
217	1807
219	125
221	308
223	714
224	383
228	2061
229	659
233	716
234	869
235	1204
237	1209
238	1114
239	216
241	2103
243	1191
248	2062
250	1974
253	1423
256	2026
261	1360
262	555
263	202
265	2125
266	68
269	1354
275	453
282	1494
283	2036
284	1298
285	2142
286	465
289	616
290	1851
294	231
297	1724
298	1233
302	1234
304	600
308	485
311	434
313	1535
316	205
317	1013
318	1111
319	171
320	1127
321	270
322	395
326	1981
327	1478
330	549
333	306
335	1112
336	1633
337	1411
339	147
340	503
341	830
346	735
349	494
350	1711
352	823
354	1412
355	324
357	1055
358	252
362	1662
364	415
366	1458
368	2060
369	86
370	1642
374	2117
375	342
376	2137
377	1176
379	1339
381	1526
385	1818
388	344
392	226
393	1596
398	1643
400	931
401	1814
403	587
405	1732
408	1652
409	815
412	1867
413	1547
414	1325
416	99
417	1936
419	2074
428	1527
431	1846
432	1152
433	641
435	1675
436	1754
437	919
438	1041
439	1048
440	778
442	2134
447	570
448	558
451	1572
453	403
454	562
455	460
456	2071
457	693
458	1244
464	728
465	551
466	883
468	623
469	162
471	1126
472	674
475	351
476	926
478	946
481	874
482	2079
483	504
484	1522
485	49
486	464
491	1180
492	864
493	1848
495	1898
499	42
502	1101
504	575
506	1249
507	681
509	1402
511	1160
514	747
516	1877
517	416
519	1294
525	1359
526	868
529	204
531	258
532	511
533	1805
534	123
535	892
540	639
541	1109
542	1955
543	783
545	262
546	1015
551	1774
552	2012
555	26
557	1830
561	1508
564	1309
565	1199
572	102
574	1139
575	1685
576	359
577	208
578	428
579	1634
581	1303
582	1956
583	523
585	2093
589	360
590	1988
594	1153
599	1480
600	294
601	2073
603	1399
604	572
605	687
606	107
607	519
610	1664
612	1424
613	1414
617	456
619	2023
620	1282
624	2033
626	370
627	1307
629	247
630	1491
632	174
634	1725
636	1188
637	191
638	578
639	2101
642	22
643	804
644	1235
647	1622
648	2083
649	195
651	1033
652	1301
653	1436
654	1842
665	1569
667	998
669	1158
673	493
674	488
678	1645
679	1135
681	1075
682	132
684	1714
685	563
686	1398
688	56
689	689
691	278
692	844
693	1654
694	1885
696	310
697	425
698	1897
699	708
700	677
702	1990
703	352
705	797
706	610
709	814
711	2075
714	1476
715	1746
717	1804
719	640
720	907
721	11
722	1899
728	1425
732	1906
733	619
736	758
737	2014
738	1043
741	121
743	532
745	983
746	1281
747	1786
748	2102
753	842
755	552
758	769
759	1659
760	1588
761	312
763	346
766	2044
767	987
769	1337
770	1726
771	218
776	730
777	361
778	54
782	1883
783	427
786	1000
790	1579
792	2135
793	1859
795	1762
796	858
801	1136
802	1788
804	761
809	1440
810	904
815	1023
816	1254
818	890
819	385
821	1428
824	1373
826	1802
827	284
830	116
831	1473
836	304
837	1660
838	167
839	671
840	629
842	876
844	1477
846	2120
851	1831
855	2147
857	2150
858	711
859	954
860	283
861	1003
866	865
867	1858
870	1017
872	1383
873	984
874	767
875	1997
876	87
878	2111
879	1028
881	236
883	1843
884	233
885	1291
886	650
887	1452
888	1145
890	432
891	1716
893	1976
895	357
898	2097
900	57
904	410
905	459
906	24
909	679
910	1089
911	554
913	1095
914	2066
915	1586
916	1890
919	1585
921	1172
922	273
923	891
924	1198
926	881
927	614
928	365
931	564
932	1676
933	857
935	849
938	1632
946	1470
949	34
951	303
952	129
955	1221
959	1217
963	737
964	584
966	1709
968	287
969	62
970	736
971	1461
972	514
973	653
975	1397
977	255
979	1683
980	1225
981	150
987	1368
988	968
989	742
990	1405
991	139
994	412
995	2072
996	1091
997	44
1002	2088
1003	1014
1004	1934
1005	722
1007	60
1011	472
1014	731
1015	1202
